kind,scenario_id,method,metric,n,bootstrap_ci_method,bootstrap_ci_lower,bootstrap_ci_upper
feasible,critical-edge-command,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,534561714.0,544565637.5
feasible,critical-edge-command,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,15567546.0,15955854.5
feasible,critical-edge-command,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,394181246.0,401629788.0
feasible,critical-edge-command,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,102290870.5,105280132.0
feasible,critical-edge-command,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,499916.5,523477.0
feasible,critical-edge-command,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,433854739.5,442082497.0
feasible,critical-edge-command,bilateral_minimax_regret,peak_rss_kib,30,percentile,80456.0,80796.0
feasible,critical-edge-command,bilateral_minimax_regret,context_switches,30,percentile,176.5,179.0
feasible,critical-edge-command,bilateral_minimax_regret,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,bilateral_minimax_regret,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,canonical_first_safe,total_session_wall_time_ns,30,percentile,537616694.0,550976143.5
feasible,critical-edge-command,canonical_first_safe,tls_handshake_time_ns,30,percentile,15700064.5,16067820.5
feasible,critical-edge-command,canonical_first_safe,negotiation_selection_time_ns,30,percentile,396809169.0,408821138.0
feasible,critical-edge-command,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,102436750.5,105192580.5
feasible,critical-edge-command,canonical_first_safe,task_request_response_time_ns,30,percentile,497261.0,516502.0
feasible,critical-edge-command,canonical_first_safe,process_cpu_time_ns,30,percentile,436445499.5,448280196.5
feasible,critical-edge-command,canonical_first_safe,peak_rss_kib,30,percentile,80448.0,80816.0
feasible,critical-edge-command,canonical_first_safe,context_switches,30,percentile,177.0,182.5
feasible,critical-edge-command,canonical_first_safe,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,canonical_first_safe,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,535721726.0,546663402.0
feasible,critical-edge-command,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,15423698.5,15950362.0
feasible,critical-edge-command,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,397190800.0,403678950.5
feasible,critical-edge-command,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,103272063.5,104384616.5
feasible,critical-edge-command,initiator_minimum_cost,task_request_response_time_ns,30,percentile,500154.5,522342.0
feasible,critical-edge-command,initiator_minimum_cost,process_cpu_time_ns,30,percentile,436751122.5,444438393.5
feasible,critical-edge-command,initiator_minimum_cost,peak_rss_kib,30,percentile,80448.0,80796.0
feasible,critical-edge-command,initiator_minimum_cost,context_switches,30,percentile,176.0,185.5
feasible,critical-edge-command,initiator_minimum_cost,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,initiator_minimum_cost,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,minimum_total_cost,total_session_wall_time_ns,30,percentile,534249433.0,548712023.5
feasible,critical-edge-command,minimum_total_cost,tls_handshake_time_ns,30,percentile,15614392.5,16067180.0
feasible,critical-edge-command,minimum_total_cost,negotiation_selection_time_ns,30,percentile,394393327.0,403714161.5
feasible,critical-edge-command,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,101769201.0,105807409.0
feasible,critical-edge-command,minimum_total_cost,task_request_response_time_ns,30,percentile,493327.5,527627.0
feasible,critical-edge-command,minimum_total_cost,process_cpu_time_ns,30,percentile,435695758.0,443853004.5
feasible,critical-edge-command,minimum_total_cost,peak_rss_kib,30,percentile,80450.0,80798.0
feasible,critical-edge-command,minimum_total_cost,context_switches,30,percentile,176.5,180.0
feasible,critical-edge-command,minimum_total_cost,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,minimum_total_cost,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,low-risk-public-tool,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,443745643.0,453919433.5
feasible,low-risk-public-tool,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,10303362.5,10560518.0
feasible,low-risk-public-tool,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,311281297.5,318777973.5
feasible,low-risk-public-tool,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,99794341.0,102996876.0
feasible,low-risk-public-tool,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,494093.5,509350.5
feasible,low-risk-public-tool,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,351423200.0,358827776.5
feasible,low-risk-public-tool,bilateral_minimax_regret,peak_rss_kib,30,percentile,80432.0,80796.0
feasible,low-risk-public-tool,bilateral_minimax_regret,context_switches,30,percentile,143.5,150.5
feasible,low-risk-public-tool,bilateral_minimax_regret,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,bilateral_minimax_regret,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,canonical_first_safe,total_session_wall_time_ns,30,percentile,442194144.5,448320532.5
feasible,low-risk-public-tool,canonical_first_safe,tls_handshake_time_ns,30,percentile,10168921.0,10506720.5
feasible,low-risk-public-tool,canonical_first_safe,negotiation_selection_time_ns,30,percentile,307446875.0,316965117.5
feasible,low-risk-public-tool,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,97930943.0,102199929.5
feasible,low-risk-public-tool,canonical_first_safe,task_request_response_time_ns,30,percentile,494886.5,519210.5
feasible,low-risk-public-tool,canonical_first_safe,process_cpu_time_ns,30,percentile,347769040.0,356386054.0
feasible,low-risk-public-tool,canonical_first_safe,peak_rss_kib,30,percentile,80432.0,80770.0
feasible,low-risk-public-tool,canonical_first_safe,context_switches,30,percentile,141.0,146.0
feasible,low-risk-public-tool,canonical_first_safe,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,canonical_first_safe,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,441254154.5,454947710.0
feasible,low-risk-public-tool,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,10300264.0,10552748.0
feasible,low-risk-public-tool,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,308838306.5,319471320.5
feasible,low-risk-public-tool,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,99457100.0,102035785.0
feasible,low-risk-public-tool,initiator_minimum_cost,task_request_response_time_ns,30,percentile,500514.5,529787.5
feasible,low-risk-public-tool,initiator_minimum_cost,process_cpu_time_ns,30,percentile,348772708.0,358199765.5
feasible,low-risk-public-tool,initiator_minimum_cost,peak_rss_kib,30,percentile,80440.0,80772.0
feasible,low-risk-public-tool,initiator_minimum_cost,context_switches,30,percentile,143.5,149.0
feasible,low-risk-public-tool,initiator_minimum_cost,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,initiator_minimum_cost,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,minimum_total_cost,total_session_wall_time_ns,30,percentile,442115370.0,450601327.0
feasible,low-risk-public-tool,minimum_total_cost,tls_handshake_time_ns,30,percentile,10299252.0,10511343.5
feasible,low-risk-public-tool,minimum_total_cost,negotiation_selection_time_ns,30,percentile,310794733.5,319148622.0
feasible,low-risk-public-tool,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,97820482.5,101832388.5
feasible,low-risk-public-tool,minimum_total_cost,task_request_response_time_ns,30,percentile,485305.5,518186.0
feasible,low-risk-public-tool,minimum_total_cost,process_cpu_time_ns,30,percentile,349299704.5,358217900.5
feasible,low-risk-public-tool,minimum_total_cost,peak_rss_kib,30,percentile,80438.0,80768.0
feasible,low-risk-public-tool,minimum_total_cost,context_switches,30,percentile,145.0,150.0
feasible,low-risk-public-tool,minimum_total_cost,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,minimum_total_cost,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,427886003.5,436652211.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,10237739.0,10403487.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,294716255.5,304472609.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,99677397.5,101488848.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,502959.5,518980.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,335102919.5,342699397.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,peak_rss_kib,30,percentile,80464.0,80812.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,context_switches,30,percentile,140.0,147.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,contract_size_bytes,30,percentile,11294.0,11294.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,total_protocol_bytes,30,percentile,12202.0,12202.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,total_session_wall_time_ns,30,percentile,427496391.0,436200192.5
feasible,low-risk-quantum-ready-tool,canonical_first_safe,tls_handshake_time_ns,30,percentile,10301546.0,10600927.5
feasible,low-risk-quantum-ready-tool,canonical_first_safe,negotiation_selection_time_ns,30,percentile,296491592.0,304927565.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,98052967.5,100666549.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,task_request_response_time_ns,30,percentile,505312.5,531729.5
feasible,low-risk-quantum-ready-tool,canonical_first_safe,process_cpu_time_ns,30,percentile,336964139.0,343937190.5
feasible,low-risk-quantum-ready-tool,canonical_first_safe,peak_rss_kib,30,percentile,80466.0,80832.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,context_switches,30,percentile,139.0,147.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,contract_size_bytes,30,percentile,11294.0,11294.0
feasible,low-risk-quantum-ready-tool,canonical_first_safe,total_protocol_bytes,30,percentile,12202.0,12202.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,426677582.5,435995287.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,9935559.0,10435780.5
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,294816974.0,303902298.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,99949983.0,102958353.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,task_request_response_time_ns,30,percentile,505071.5,528685.5
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,process_cpu_time_ns,30,percentile,333677706.5,342518357.5
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,peak_rss_kib,30,percentile,80458.0,80818.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,context_switches,30,percentile,143.5,149.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,contract_size_bytes,30,percentile,11294.0,11294.0
feasible,low-risk-quantum-ready-tool,initiator_minimum_cost,total_protocol_bytes,30,percentile,12202.0,12202.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,total_session_wall_time_ns,30,percentile,427330637.0,436031470.5
feasible,low-risk-quantum-ready-tool,minimum_total_cost,tls_handshake_time_ns,30,percentile,10260626.5,10455160.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,negotiation_selection_time_ns,30,percentile,296450785.0,303707085.5
feasible,low-risk-quantum-ready-tool,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,99603827.5,102377597.5
feasible,low-risk-quantum-ready-tool,minimum_total_cost,task_request_response_time_ns,30,percentile,498741.0,524097.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,process_cpu_time_ns,30,percentile,335589230.0,343472244.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,peak_rss_kib,30,percentile,80468.0,80808.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,context_switches,30,percentile,141.0,146.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,contract_size_bytes,30,percentile,11294.0,11294.0
feasible,low-risk-quantum-ready-tool,minimum_total_cost,total_protocol_bytes,30,percentile,12202.0,12202.0
feasible,sensitive-enterprise-api,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,454634380.0,469133924.5
feasible,sensitive-enterprise-api,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,10329046.0,10508175.5
feasible,sensitive-enterprise-api,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,325312062.0,333593129.0
feasible,sensitive-enterprise-api,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,99453756.0,103845109.5
feasible,sensitive-enterprise-api,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,500360.5,538571.5
feasible,sensitive-enterprise-api,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,364204727.5,372950322.5
feasible,sensitive-enterprise-api,bilateral_minimax_regret,peak_rss_kib,30,percentile,80446.0,80812.0
feasible,sensitive-enterprise-api,bilateral_minimax_regret,context_switches,30,percentile,156.0,162.0
feasible,sensitive-enterprise-api,bilateral_minimax_regret,contract_size_bytes,30,percentile,11277.0,11277.0
feasible,sensitive-enterprise-api,bilateral_minimax_regret,total_protocol_bytes,30,percentile,12185.0,12185.0
feasible,sensitive-enterprise-api,canonical_first_safe,total_session_wall_time_ns,30,percentile,458587108.0,468884123.5
feasible,sensitive-enterprise-api,canonical_first_safe,tls_handshake_time_ns,30,percentile,10359377.5,10657779.5
feasible,sensitive-enterprise-api,canonical_first_safe,negotiation_selection_time_ns,30,percentile,324000974.5,332129937.5
feasible,sensitive-enterprise-api,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,100319396.5,102668813.5
feasible,sensitive-enterprise-api,canonical_first_safe,task_request_response_time_ns,30,percentile,499186.5,520382.0
feasible,sensitive-enterprise-api,canonical_first_safe,process_cpu_time_ns,30,percentile,363604915.0,372099056.5
feasible,sensitive-enterprise-api,canonical_first_safe,peak_rss_kib,30,percentile,80432.0,80786.0
feasible,sensitive-enterprise-api,canonical_first_safe,context_switches,30,percentile,154.0,160.5
feasible,sensitive-enterprise-api,canonical_first_safe,contract_size_bytes,30,percentile,11277.0,11277.0
feasible,sensitive-enterprise-api,canonical_first_safe,total_protocol_bytes,30,percentile,12185.0,12185.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,455918414.0,468189574.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,10307154.5,10582412.5
feasible,sensitive-enterprise-api,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,322920045.0,330323738.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,98711213.0,103359525.5
feasible,sensitive-enterprise-api,initiator_minimum_cost,task_request_response_time_ns,30,percentile,502304.5,529971.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,process_cpu_time_ns,30,percentile,362199616.0,370405174.5
feasible,sensitive-enterprise-api,initiator_minimum_cost,peak_rss_kib,30,percentile,80442.0,80802.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,context_switches,30,percentile,155.5,162.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,contract_size_bytes,30,percentile,11277.0,11277.0
feasible,sensitive-enterprise-api,initiator_minimum_cost,total_protocol_bytes,30,percentile,12185.0,12185.0
feasible,sensitive-enterprise-api,minimum_total_cost,total_session_wall_time_ns,30,percentile,458500532.5,463709412.5
feasible,sensitive-enterprise-api,minimum_total_cost,tls_handshake_time_ns,30,percentile,10167848.5,10602733.5
feasible,sensitive-enterprise-api,minimum_total_cost,negotiation_selection_time_ns,30,percentile,325420733.5,330388449.5
feasible,sensitive-enterprise-api,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,99550617.0,102067434.0
feasible,sensitive-enterprise-api,minimum_total_cost,task_request_response_time_ns,30,percentile,508100.5,532436.0
feasible,sensitive-enterprise-api,minimum_total_cost,process_cpu_time_ns,30,percentile,365496410.5,370057558.0
feasible,sensitive-enterprise-api,minimum_total_cost,peak_rss_kib,30,percentile,80448.0,80814.0
feasible,sensitive-enterprise-api,minimum_total_cost,context_switches,30,percentile,156.5,163.0
feasible,sensitive-enterprise-api,minimum_total_cost,contract_size_bytes,30,percentile,11277.0,11277.0
feasible,sensitive-enterprise-api,minimum_total_cost,total_protocol_bytes,30,percentile,12185.0,12185.0
